ID;Esti...;Care este varsta ta in ani impliniti?;Locuiesti in mediul...;in ce judet locuiesti?;Cu ce frecventa te uiti la televizor? *Raspuns unic.*;Care este ultima forma de invatamant pe care ai absolvit-o?;Care este starea ta civila?;Ai copii?;Cati copii ai?;Cate persoane locuiesc cu tine permanent (nu doar in vizita)? Daca locuiesti singur(a), scrie 0.;Care este ocupatia ta curenta?;incadreaza venitul tau total net in una dintre categoriile urmatoare:;in ce masura iti place sau nu aceasta reclama?;si in ce masura simti ca ti se adreseaza/ se potriveste pentru tine personal, serviciul promovat?;Voi contracta serviciile Brand 3;Cum consideri pretul de *24.6 Ron (5 euro) / luna* pentru *un abonament lunar al serviciului de streaming al Brand 3?;Cum consideri pretul de *39.4 Ron (8 euro) / luna* pentru un abonament lunar de *daca ar include si continut suplimentar?*;Folosind o scala de la 0 la 10, in ce masura ai recomanda familiei, prietenilor, cunoscutilor *furnizorul de televiziune pe care il folosesti in prezent*?;Intentionezi ca in urmatoarele 6 luni sa schimbi furnizorul actual de servicii de televiziune? *Raspuns unic.*;Pe langa serviciile de televiziune traditionala, in ce masura iei in considerare contractarea serviciilor de televiziune online sau streaming? *Raspuns unic.*;Care *cel mai important motiv* pentru care *nu te uiti* la televizor? (Alege un singurul motiv, cel care primeaza in decizia de a nu te uita la TV.);Care este criteriul pentru care alegeti un serviciu de televiziune?;;;;;;;;;;;;;;Acasa, ce tip de televiziune urmaresti?;;;;
43;Barbat;40;Urban;BUCURESTI;De 2-3 ori pe saptamana;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;5;Muncitor calificat;1.701 - 2.000 lei;Asa si-asa;Mi se potriveste destul de bine;Poate da, poate nu;Acceptabil;Acceptabil;7;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;Rapiditatea rezolvarii problemelor tehnice;;;Sa transmita prin fibra optica;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
44;Barbat;39;Urban;SATU MARE;De 2-3 ori pe luna;Liceu (12 clase);Necasatorit/a;Nu;;2;Muncitor calificat;Nu realizez venituri;Asa si-asa;Asa si-asa;Cu siguranta da;Acceptabil;;7;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;Ma distrage de la alte activitati/ as pierde timpul;;;;;;;;;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
45;Barbat;44;Urban;BOTOSANI;De 2-3 ori pe luna;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;4;Nu lucrez;Nu realizez venituri;Asa si-asa;Mi se potriveste destul de bine;Cu siguranta nu;Scump;Prea scump;8;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;;;;
46;Barbat;30;Urban;IASI;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;3;Muncitor calificat;1.001 - 1.700 lei;imi place mult;Mi se potriveste destul de bine;Poate da, poate nu;Scump;Scump;3;Poate il voi schimba, poate nu;Probabil NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;;;;;Sa transmita prin fibra optica;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
47;Barbat;30;Urban;IASI;Zilnic;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Nu;;2;Functionar;1.701 - 2.000 lei;Asa si-asa;Nu prea mi se potriveste;Mai degraba nu;;;4;Poate il voi schimba, poate nu;Probabil NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
48;Barbat;39;Urban;CLUJ;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Nu;;1;Functionar;1.701 - 2.000 lei;Asa si-asa;Asa si-asa;Cu siguranta nu;Scump;Prea scump;7;Poate il voi schimba, poate nu;Cu siguranta NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
49;Femeie;52;Urban;BRAILA;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Nu;;1;Functionar;4.001 - 5.000 lei;imi place mult;Mi se potriveste destul de bine;Mai degraba nu;Acceptabil;Acceptabil;9;Cu siguranta il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;;;;;;;;;;;;Televiziune prin cablu;Televiziune prin satelit;;Servicii de online streaming (Netflix, HBO GO etc.);
50;Barbat;44;Urban;TIMIS;Zilnic;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;4;Nu lucrez;1.001 - 1.700 lei;Asa si-asa;Asa si-asa;Probabil da;;;5;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;Sa transmita prin fibra optica;;Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
51;Barbat;42;Urban;DOLJ;De 2-3 ori pe saptamana;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Muncitor calificat;1.701 - 2.000 lei;imi place mult;Mi se potriveste destul de bine;Poate da, poate nu;Acceptabil;Scump;7;Probabil il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
52;Barbat;28;Rural;ILFOV;De 4-5 ori pe saptamana;Studii postuniversitare (master, doctorat);Necasatorit/a;Nu;;2;Functionar;Sub 750 lei;imi place mult;Asa si-asa;Cu siguranta da;Acceptabil;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;Grila de programe variata;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
53;Barbat;30;Urban;CONSTANTA;;Liceu (12 clase);Necasatorit/a;Nu;;4;Refuz;Nu realizez venituri;imi place mult;Mi se potriveste destul de bine;Probabil da;Scump;Prea scump;10;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
54;Barbat;36;Urban;BUCURESTI;Zilnic;Studii postuniversitare (master, doctorat);Necasatorit/a;Nu;;1;Inginer, economist, doctor, professor;Nu realizez venituri;Asa si-asa;Asa si-asa;Poate da, poate nu;;;;;;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;;;;;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
55;Barbat;44;Urban;IASI;Zilnic;Liceu (12 clase);Refuz sa raspund;Nu;;2;Refuz;1.701 - 2.000 lei;Asa si-asa;Nu prea mi se potriveste;Cu siguranta nu;Acceptabil;Acceptabil;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;Sa transmita prin fibra optica;;Sa aiba oferte/ promotii;;Sa aiba acoperire ampla (nu doar in Romania);;;;;;;Nu avem niciun fel de televiziune
56;Barbat;42;Urban;MEHEDINTI;Zilnic;Studii postuniversitare (master, doctorat);Divortat/a / Separat/a;Nu;;11;Inginer, economist, doctor, professor;1.001 - 1.700 lei;Nu prea-mi place;Nu mi se potriveste deloc;Poate da, poate nu;Acceptabil;Acceptabil;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
57;Barbat;44;Urban;HUNEDOARA;De 2-3 ori pe saptamana;Facultate (3-5 ani);Necasatorit/a;Nu;;3;Muncitor calificat;1.001 - 1.700 lei;Asa si-asa;Mi se potriveste destul de bine;Mai degraba nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
58;Barbat;27;Urban;BACAU;;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;2 copii;4;Functionar;Sub 750 lei;imi place mult;Mi se potriveste foarte bine;Cu siguranta da;Acceptabil;Scump;6;Cu siguranta il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;;Sa aiba semnal bun/ de calitate;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
59;Barbat;31;Urban;ARGES;De 4-5 ori pe saptamana;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Muncitor calificat;751 - 1.000 lei;imi place mult;Mi se potriveste foarte bine;Cu siguranta da;Scump;Scump;;;;Nu gasesc valoare in continutul de la TV;;;;;;;;;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
60;Barbat;32;Urban;BUCURESTI;De 4-5 ori pe saptamana;Facultate (3-5 ani);Necasatorit/a;Nu;;0;Inginer, economist, doctor, professor;1.001 - 1.700 lei;imi place mult;Mi se potriveste destul de bine;Probabil da;Ieftin;Scump;10;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;;;;;Nu avem niciun fel de televiziune
61;Barbat;46;Urban;BUCURESTI;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;2;Muncitor calificat;1.001 - 1.700 lei;Asa si-asa;Mi se potriveste destul de bine;Poate da, poate nu;Prea scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;Pretul abonamentului / serviciului;;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
62;Barbat;36;Urban;NEAMT;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Functionar;Refuz sa raspund;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;;Grila de programe variata;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
63;Barbat;27;Urban;OLT;Zilnic;Treapta 1 de liceu (10 clase);Necasatorit/a;Nu;;3;Nu lucrez;> 8000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Prea scump;Prea scump;5;Cu siguranta il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;Multe filme/ seriale;Pretul abonamentului / serviciului;;;;;;;;;;;;Televiziune prin cablu;;;;
64;Barbat;33;Urban;BUCURESTI;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;1;Nu lucrez;Refuz sa raspund;Asa si-asa;Nu prea mi se potriveste;Probabil da;Acceptabil;Prea scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
65;Barbat;44;Urban;BRASOV;Zilnic;Facultate (3-5 ani);Necasatorit/a;Nu;;0;Functionar;1.001 - 1.700 lei;imi place mult;Nu mi se potriveste deloc;Probabil da;Ieftin;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
66;Barbat;33;Urban;BUCURESTI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Functionar;1.701 - 2.000 lei;imi place mult;Mi se potriveste destul de bine;Cu siguranta da;Scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;Multe filme/ seriale;;Sa aiba semnal bun/ de calitate;;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;Televiziune prin satelit;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
67;Barbat;30;Urban;MURES;De 4-5 ori pe saptamana;Liceu (12 clase);Necasatorit/a;Nu;;5;Muncitor calificat;751 - 1.000 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Acceptabil;7;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;;;;;;;Televiziune prin cablu;;;;
68;Barbat;42;Urban;CLUJ;Zilnic;Facultate (3-5 ani);Necasatorit/a;Nu;;5;Nu lucrez;1.001 - 1.700 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Acceptabil;8;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;Televiziune prin cablu;;;;
69;Barbat;41;Rural;TIMIS;O data pe luna;Studii postuniversitare (master, doctorat);Necasatorit/a;Nu;;3;Inginer, economist, doctor, professor;Nu realizez venituri;Nu prea-mi place;Asa si-asa;Poate da, poate nu;Prea scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;;;Rapiditatea rezolvarii problemelor tehnice;;;;;;;;;;Televiziune prin cablu;;;;
70;Barbat;26;Urban;GALATI;Zilnic;Gimnaziu (8 clase);Uniune consensuala/ Casatorit/a;Da;3 copii;5;Nu lucrez;1.001 - 1.700 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Prea ieftin;Prea ieftin;7;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;Nu gasesc valoare in continutul de la TV;;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
71;Barbat;31;Urban;CLUJ;Chiar daca am televizor, nu ma uit niciodata;Facultate (3-5 ani);Refuz sa raspund;Nu;;3;Inginer, economist, doctor, professor;2.001 - 3.000 lei;imi place mult;Mi se potriveste destul de bine;Probabil da;Scump;Prea scump;10;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;;Multe filme/ seriale;;;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
72;Barbat;26;Urban;BIHOR;Zilnic;Facultate (3-5 ani);Necasatorit/a;Nu;;3;Profesii liberale: architect, notar, avocat, specialist IT, etc.;Nu realizez venituri;Asa si-asa;Nu prea mi se potriveste;Cu siguranta nu;;;;;;Nu gasesc valoare in continutul de la TV;;;;;;;;;;;;;;;Televiziune prin cablu;;;;
73;Barbat;39;Urban;BUCURESTI;Zilnic;Facultate (3-5 ani);Necasatorit/a;Nu;;0;Elev / Student;751 - 1.000 lei;Asa si-asa;Asa si-asa;Probabil da;Prea ieftin;Prea ieftin;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;;;;Televiziune prin cablu;Televiziune prin satelit;;;
74;Barbat;46;Urban;IALOMITA;Zilnic;Liceu (12 clase);Refuz sa raspund;Da;2 copii;4;Muncitor calificat;Sub 750 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Mai degraba nu;Prea scump;Prea scump;9;Cu siguranta il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
75;Barbat;30;Urban;BUCURESTI;De 2-3 ori pe saptamana;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Nu;;2;Muncitor calificat;751 - 1.000 lei;Nu prea-mi place;Asa si-asa;Mai degraba nu;Acceptabil;Scump;8;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;Ma distrage de la alte activitati/ as pierde timpul;Grila de programe variata;;Pretul abonamentului / serviciului;;;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
76;Barbat;32;Urban;CONSTANTA;Zilnic;Studii postuniversitare (master, doctorat);Necasatorit/a;Nu;;2;Profesii liberale: architect, notar, avocat, specialist IT, etc.;1.001 - 1.700 lei;imi place mult;Mi se potriveste destul de bine;Probabil da;Scump;Prea scump;5;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;Multe filme/ seriale;;Sa aiba semnal bun/ de calitate;;;;Sa transmita prin fibra optica;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
77;Barbat;45;Urban;SATU MARE;De 4-5 ori pe saptamana;Treapta 1 de liceu (10 clase);Necasatorit/a;Nu;;2;Muncitor calificat;Refuz sa raspund;imi place mult;Mi se potriveste foarte bine;Cu siguranta da;Scump;Scump;6;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;;
78;Barbat;42;Urban;SIBIU;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;4;Functionar;Nu realizez venituri;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Prea scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;;;;;;;Sa aiba pachet complet (cu internet);;;Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
79;Barbat;34;Rural;MURES;Zilnic;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Nu;;0;Functionar;4.001 - 5.000 lei;imi place mult;Mi se potriveste foarte bine;Probabil da;Scump;Prea scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;;Multe filme/ seriale;Pretul abonamentului / serviciului;;;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;;;;
